Timestamp,Memory Usage (%)
2023-10-26 19:56:56,3.35GB,1
2023-10-26 20:00:27,3.07GB,1
2023-10-26 20:01:27,3.16GB,1
2023-10-26 20:02:27,3.32GB,1
2023-10-26 20:03:27,3.62GB,1
2023-10-26 20:04:27,3.43GB,1
2023-10-26 20:05:27,3.79GB,1
2023-10-26 20:06:27,3.72GB,1
2023-10-26 20:07:27,3.22GB,1
2023-10-26 20:08:27,3.16GB,1
2023-10-26 20:09:27,2.91GB,1
2023-10-26 20:10:27,3.12GB,1
2023-10-26 20:11:27,2.98GB,1
2023-10-26 20:12:27,3.20GB,1
2023-10-26 20:13:27,3.40GB,1
2023-10-26 20:14:27,3.71GB,1
2023-10-26 20:15:27,3.78GB,1
2023-10-26 20:16:27,2.95GB,1
2023-10-26 20:17:27,3.85GB,1
2023-10-26 20:18:28,4.06GB,1
2023-10-26 20:19:28,3.86GB,1
2023-10-26 20:20:28,3.16GB,1
2023-10-26 20:21:28,2.93GB,1
2023-10-26 20:22:28,3.59GB,1
2023-10-26 20:23:28,3.07GB,1
2023-10-26 20:24:28,3.57GB,1
2023-10-26 20:25:28,3.57GB,1
2023-10-26 20:26:28,3.58GB,1
2023-10-26 20:27:28,3.36GB,1
2023-10-26 20:28:28,3.35GB,1
2023-10-26 20:29:28,3.70GB,1
2023-10-26 20:30:28,3.75GB,1
2023-10-26 20:31:28,3.20GB,1
2023-10-26 20:32:28,3.16GB,1
2023-10-26 20:33:28,3.20GB,1
2023-10-26 20:34:29,3.26GB,1
2023-10-26 20:35:29,2.90GB,1
2023-10-26 20:36:29,2.93GB,1
2023-10-26 20:37:29,2.98GB,1
2023-10-26 20:38:29,3.43GB,1
2023-10-26 20:39:29,3.39GB,1
2023-10-26 20:40:29,3.39GB,1
2023-10-26 20:41:29,3.39GB,1
2023-10-26 20:42:29,3.44GB,1
2023-10-26 20:43:29,3.39GB,1
2023-10-26 20:44:29,3.39GB,1
2023-10-26 20:45:29,3.40GB,1
2023-10-26 20:46:29,3.40GB,1
2023-10-26 20:47:29,3.41GB,1
2023-10-26 20:48:29,3.44GB,1
2023-10-26 20:49:29,4.11GB,1
2023-10-26 20:50:29,4.09GB,1
2023-10-26 20:51:30,4.09GB,1
2023-10-26 20:52:30,4.08GB,1
2023-10-26 20:53:30,4.08GB,1
2023-10-26 20:54:30,4.08GB,1
2023-10-26 20:55:30,4.07GB,1
2023-10-26 20:56:30,4.08GB,1
2023-10-26 20:57:30,4.11GB,1
2023-10-26 20:58:30,4.16GB,1
2023-10-26 20:59:30,4.17GB,1
2023-10-26 21:00:30,4.17GB,1
2023-10-26 21:01:30,4.18GB,1
2023-10-26 21:02:30,4.19GB,1
2023-10-26 21:03:30,4.19GB,1
2023-10-26 21:04:30,4.17GB,1
2023-10-26 21:05:30,4.17GB,1
2023-10-26 21:06:30,4.18GB,1
2023-10-26 21:07:30,4.18GB,1
2023-10-26 21:08:31,4.17GB,1
2023-10-26 21:09:31,4.17GB,1
2023-10-26 21:10:31,4.16GB,1
2023-10-26 21:11:31,4.16GB,1
2023-10-26 21:12:31,4.15GB,1
2023-10-26 21:13:31,4.16GB,1
2023-10-26 21:14:31,4.16GB,1
2023-10-26 21:15:31,4.16GB,1
2023-10-26 21:16:31,4.17GB,1
2023-10-26 21:17:31,4.18GB,1
2023-10-26 21:18:31,4.16GB,1
2023-10-26 21:19:31,4.15GB,1
2023-10-26 21:20:31,4.16GB,1
2023-10-26 21:21:31,4.16GB,1
2023-10-26 21:22:31,4.16GB,1
2023-10-26 21:23:31,4.16GB,1
2023-10-26 21:24:31,4.15GB,1
2023-10-26 21:25:31,4.15GB,1
2023-10-26 21:26:32,4.16GB,1
2023-10-26 21:27:32,4.15GB,1
2023-10-26 21:28:32,4.15GB,1
2023-10-26 21:29:32,4.14GB,1
2023-10-26 21:30:32,4.15GB,1
2023-10-26 21:31:32,4.15GB,1
2023-10-26 21:32:32,4.15GB,1
2023-10-26 21:33:32,4.19GB,1
2023-10-26 21:34:32,4.11GB,1
2023-10-26 21:35:32,4.40GB,1
2023-10-26 21:36:32,4.41GB,1
2023-10-26 21:37:32,4.46GB,1
2023-10-26 21:38:32,4.58GB,1
2023-10-26 21:39:32,4.58GB,1
2023-10-26 21:40:32,4.57GB,1
2023-10-26 21:41:32,4.57GB,1
2023-10-26 21:42:33,4.58GB,1
2023-10-26 21:43:33,4.58GB,1
2023-10-26 21:44:33,4.60GB,1
2023-10-26 21:45:33,4.60GB,1
2023-10-26 21:46:33,4.63GB,1
