Timestamp,Memory Usage (%)
2024-01-06 15:56:43,45.83GB,1
2024-01-06 15:57:43,45.04GB,1
2024-01-06 15:58:43,45.35GB,1
2024-01-06 15:59:43,45.39GB,1
2024-01-06 16:00:43,45.42GB,1
2024-01-06 16:01:43,45.08GB,1
2024-01-06 16:02:43,45.87GB,1
2024-01-06 16:03:43,46.52GB,1
2024-01-06 16:04:43,46.52GB,1
2024-01-06 16:05:43,46.52GB,1
2024-01-06 16:06:43,44.90GB,1
2024-01-06 16:07:43,44.86GB,1
2024-01-06 16:08:43,44.85GB,1
2024-01-06 16:09:43,44.84GB,1
2024-01-06 16:10:43,46.40GB,1
2024-01-06 16:11:43,46.03GB,1
2024-01-06 16:12:43,46.41GB,1
2024-01-06 16:13:43,46.43GB,1
2024-01-06 16:14:43,46.44GB,1
2024-01-06 16:15:43,46.45GB,1
2024-01-06 16:16:43,46.46GB,1
2024-01-06 16:17:43,46.46GB,1
2024-01-06 16:18:43,46.47GB,1
2024-01-06 16:19:43,46.47GB,1
2024-01-06 16:20:43,47.00GB,1
2024-01-06 16:21:43,45.99GB,1
2024-01-06 16:22:43,45.04GB,1
2024-01-06 16:23:43,45.00GB,1
2024-01-06 16:24:43,44.96GB,1
2024-01-06 16:25:43,45.03GB,1
2024-01-06 16:26:43,45.04GB,1
2024-01-06 16:27:43,45.02GB,1
2024-01-06 16:28:43,45.01GB,1
2024-01-06 16:29:43,45.02GB,1
2024-01-06 16:30:43,44.98GB,1
2024-01-06 16:31:43,44.99GB,1
2024-01-06 16:32:43,47.97GB,1
2024-01-06 16:33:43,45.95GB,1
2024-01-06 16:34:43,45.02GB,1
2024-01-06 16:35:43,45.01GB,1
2024-01-06 16:36:43,45.03GB,1
2024-01-06 16:37:43,45.02GB,1
2024-01-06 16:38:43,45.00GB,1
2024-01-06 16:39:43,44.99GB,1
2024-01-06 16:40:43,45.01GB,1
2024-01-06 16:41:43,45.01GB,1
2024-01-06 16:42:43,44.97GB,1
2024-01-06 16:43:43,44.98GB,1
2024-01-06 16:44:43,46.46GB,1
2024-01-06 16:45:43,45.97GB,1
2024-01-06 16:46:43,45.06GB,1
2024-01-06 16:47:43,44.96GB,1
2024-01-06 16:48:43,44.99GB,1
2024-01-06 16:49:43,44.97GB,1
2024-01-06 16:50:43,44.99GB,1
2024-01-06 16:51:43,45.01GB,1
2024-01-06 16:52:43,44.99GB,1
2024-01-06 16:53:43,44.99GB,1
2024-01-06 16:54:43,44.98GB,1
2024-01-06 16:55:43,44.95GB,1
2024-01-06 16:56:43,46.59GB,1
2024-01-06 16:57:43,45.86GB,1
2024-01-06 16:58:43,45.00GB,1
2024-01-06 16:59:43,45.00GB,1
2024-01-06 17:00:43,45.00GB,1
2024-01-06 17:01:43,44.99GB,1
2024-01-06 17:02:43,44.96GB,1
2024-01-06 17:03:43,44.97GB,1
2024-01-06 17:04:43,44.95GB,1
2024-01-06 17:05:43,44.99GB,1
2024-01-06 17:06:43,44.93GB,1
2024-01-06 17:07:43,44.97GB,1
2024-01-06 17:08:43,46.33GB,1
2024-01-06 17:09:43,50.11GB,1
2024-01-06 17:10:43,45.74GB,1
2024-01-06 17:11:43,45.76GB,1
2024-01-06 17:12:43,45.80GB,1
2024-01-06 17:13:43,45.80GB,1
2024-01-06 17:14:43,45.81GB,1
2024-01-06 17:15:43,45.82GB,1
2024-01-06 17:16:43,45.82GB,1
2024-01-06 17:17:43,45.83GB,1
2024-01-06 17:18:43,45.83GB,1
2024-01-06 17:19:43,45.84GB,1
2024-01-06 17:20:43,45.85GB,1
2024-01-06 17:21:43,45.85GB,1
2024-01-06 17:22:43,45.85GB,1
2024-01-06 17:23:43,45.85GB,1
2024-01-06 17:24:43,45.86GB,1
2024-01-06 17:25:43,45.86GB,1
2024-01-06 17:26:43,45.87GB,1
2024-01-06 17:27:43,45.89GB,1
2024-01-06 17:28:43,45.87GB,1
2024-01-06 17:29:43,45.87GB,1
2024-01-06 17:30:43,45.87GB,1
2024-01-06 17:31:43,45.87GB,1
2024-01-06 17:32:43,45.88GB,1
2024-01-06 17:33:43,45.88GB,1
2024-01-06 17:34:43,45.88GB,1
2024-01-06 17:35:43,45.89GB,1
2024-01-06 17:36:43,45.89GB,1
2024-01-06 17:37:43,45.89GB,1
2024-01-06 17:38:43,45.89GB,1
2024-01-06 17:39:43,45.89GB,1
2024-01-06 17:40:43,45.90GB,1
2024-01-06 17:41:43,45.90GB,1
2024-01-06 17:42:43,45.90GB,1
2024-01-06 17:43:43,45.91GB,1
2024-01-06 17:44:43,45.91GB,1
2024-01-06 17:45:43,45.91GB,1
2024-01-06 17:46:43,45.91GB,1
2024-01-06 17:47:43,45.92GB,1
2024-01-06 17:48:43,45.92GB,1
2024-01-06 17:49:43,45.92GB,1
2024-01-06 17:50:43,45.92GB,1
2024-01-06 17:51:43,45.92GB,1
2024-01-06 17:52:43,45.93GB,1
2024-01-06 17:53:43,45.93GB,1
2024-01-06 17:54:43,45.93GB,1
2024-01-06 17:55:43,45.93GB,1
2024-01-06 17:56:43,45.92GB,1
2024-01-06 17:57:43,45.92GB,1
2024-01-06 17:58:43,45.93GB,1
2024-01-06 17:59:43,45.93GB,1
2024-01-06 18:00:43,45.94GB,1
2024-01-06 18:01:43,45.94GB,1
2024-01-06 18:02:43,45.94GB,1
2024-01-06 18:03:43,45.93GB,1
2024-01-06 18:04:43,45.93GB,1
2024-01-06 18:05:43,45.93GB,1
2024-01-06 18:06:43,45.93GB,1
2024-01-06 18:07:43,45.93GB,1
2024-01-06 18:08:43,45.93GB,1
2024-01-06 18:09:43,45.93GB,1
2024-01-06 18:10:43,45.94GB,1
2024-01-06 18:11:43,45.95GB,1
2024-01-06 18:12:43,45.96GB,1
2024-01-06 18:13:43,45.96GB,1
2024-01-06 18:14:43,45.97GB,1
2024-01-06 18:15:43,45.96GB,1
2024-01-06 18:16:43,45.96GB,1
2024-01-06 18:17:43,45.96GB,1
2024-01-06 18:18:43,45.91GB,1
2024-01-06 18:19:43,45.92GB,1
2024-01-06 18:20:43,45.92GB,1
2024-01-06 18:21:43,45.93GB,1
2024-01-06 18:22:43,45.94GB,1
2024-01-06 18:23:43,45.93GB,1
2024-01-06 18:24:43,45.93GB,1
2024-01-06 18:25:43,45.93GB,1
2024-01-06 18:26:43,45.93GB,1
2024-01-06 18:27:43,45.93GB,1
2024-01-06 18:28:43,45.93GB,1
2024-01-06 18:29:43,45.94GB,1
2024-01-06 18:30:43,45.94GB,1
2024-01-06 18:31:43,45.93GB,1
2024-01-06 18:32:43,45.93GB,1
2024-01-06 18:33:43,45.93GB,1
2024-01-06 18:34:43,45.94GB,1
2024-01-06 18:35:43,45.93GB,1
2024-01-06 18:36:43,45.93GB,1
2024-01-06 18:37:43,45.94GB,1
2024-01-06 18:38:43,45.93GB,1
2024-01-06 18:39:43,45.94GB,1
2024-01-06 18:40:43,45.94GB,1
2024-01-06 18:41:43,45.94GB,1
2024-01-06 18:42:43,45.93GB,1
2024-01-06 18:43:43,45.94GB,1
2024-01-06 18:44:43,45.94GB,1
2024-01-06 18:45:43,45.94GB,1
2024-01-06 18:46:43,45.94GB,1
2024-01-06 18:47:43,45.96GB,1
2024-01-06 18:48:43,45.95GB,1
2024-01-06 18:49:43,45.94GB,1
2024-01-06 18:50:43,45.95GB,1
2024-01-06 18:51:43,45.95GB,1
2024-01-06 18:52:43,45.94GB,1
2024-01-06 18:53:43,45.94GB,1
2024-01-06 18:54:43,45.95GB,1
2024-01-06 18:55:43,45.94GB,1
2024-01-06 18:56:43,45.94GB,1
2024-01-06 18:57:43,45.94GB,1
2024-01-06 18:58:43,45.95GB,1
2024-01-06 18:59:43,45.94GB,1
2024-01-06 19:00:43,45.94GB,1
2024-01-06 19:01:43,45.94GB,1
2024-01-06 19:02:43,45.94GB,1
2024-01-06 19:03:43,45.95GB,1
2024-01-06 19:04:43,45.95GB,1
2024-01-06 19:05:43,45.95GB,1
2024-01-06 19:06:43,45.95GB,1
2024-01-06 19:07:43,45.95GB,1
2024-01-06 19:08:43,45.95GB,1
2024-01-06 19:09:43,45.95GB,1
2024-01-06 19:10:43,45.96GB,1
2024-01-06 19:11:43,45.96GB,1
2024-01-06 19:12:43,45.96GB,1
2024-01-06 19:13:43,45.96GB,1
2024-01-06 19:14:43,45.97GB,1
2024-01-06 19:15:43,45.96GB,1
2024-01-06 19:16:43,45.97GB,1
2024-01-06 19:17:43,45.97GB,1
2024-01-06 19:18:43,45.97GB,1
2024-01-06 19:19:43,45.97GB,1
2024-01-06 19:20:43,45.97GB,1
2024-01-06 19:21:43,45.97GB,1
2024-01-06 19:22:43,45.98GB,1
2024-01-06 19:23:43,45.97GB,1
2024-01-06 19:24:43,45.98GB,1
2024-01-06 19:25:43,45.97GB,1
2024-01-06 19:26:43,45.96GB,1
2024-01-06 19:27:43,45.97GB,1
2024-01-06 19:28:43,45.97GB,1
2024-01-06 19:29:43,45.96GB,1
2024-01-06 19:30:43,45.96GB,1
2024-01-06 19:31:43,45.96GB,1
2024-01-06 19:32:43,45.97GB,1
2024-01-06 19:33:43,45.97GB,1
2024-01-06 19:34:43,45.97GB,1
2024-01-06 19:35:43,45.96GB,1
2024-01-06 19:36:43,45.97GB,1
2024-01-06 19:37:43,45.98GB,1
2024-01-06 19:38:43,45.97GB,1
2024-01-06 19:39:43,45.97GB,1
2024-01-06 19:40:43,45.97GB,1
2024-01-06 19:41:43,45.97GB,1
2024-01-06 19:42:43,45.95GB,1
2024-01-06 19:43:43,45.95GB,1
2024-01-06 19:44:43,45.95GB,1
2024-01-06 19:45:43,45.96GB,1
2024-01-06 19:46:43,45.96GB,1
2024-01-06 19:47:43,45.96GB,1
